idPago,fecha,monto,metodoPago,estado
169,2023-07-12,101000,Transferencia,Pagado
170,2023-09-25,225000,Tarjeta Crédito,Pagado
171,2023-11-08,79000,Efectivo,Pagado
172,2024-01-20,155000,Tarjeta Débito,Pagado
173,2024-03-10,118000,Transferencia,Pagado
174,2024-05-22,198000,Tarjeta Crédito,Pagado
175,2024-07-08,83000,Efectivo,Pagado
176,2024-09-18,165000,Tarjeta Débito,Pagado
177,2024-11-05,107000,Transferencia,Pagado
178,2025-01-20,215000,Tarjeta Crédito,Pagado
179,2025-03-10,77000,Efectivo,Pagado
180,2025-05-22,172000,Tarjeta Débito,Pendiente
181,2025-07-08,95000,Transferencia,Pagado
182,2025-09-18,208000,Tarjeta Crédito,Pagado
183,2025-11-05,81000,Efectivo,Pagado
184,2026-01-20,158000,Tarjeta Débito,Pagado
185,2022-04-25,112000,Transferencia,Pagado
186,2022-08-10,195000,Tarjeta Crédito,Pagado
187,2022-12-05,76000,Efectivo,Pagado
188,2023-04-18,148000,Tarjeta Débito,Pagado
189,2023-08-08,105000,Transferencia,Pagado
190,2023-12-20,222000,Tarjeta Crédito,Pagado
191,2024-04-10,87000,Efectivo,Pagado
192,2024-08-22,175000,Tarjeta Débito,Pagado
193,2024-12-08,98000,Transferencia,Pagado
194,2025-04-20,235000,Tarjeta Crédito,Pagado
195,2025-08-10,73000,Efectivo,Pendiente
196,2025-12-22,162000,Tarjeta Débito,Pagado
197,2026-02-08,115000,Transferencia,Pagado
198,2026-03-20,248000,Tarjeta Crédito,Pagado
199,2026-04-02,90000,Efectivo,Pagado
200,2026-04-08,178000,Tarjeta Débito,Pendiente
